temperature,precipitation,year,month
-1.0,21.5,2009,12
-4.5,29.3,2010,01
1.4,55.3,2010,02
4.3,82.5,2010,03
9.5,62.8,2010,04
17.2,124.0,2010,05
23.4,127.6,2010,06
25.8,239.2,2010,07
26.5,598.7,2010,08
21.8,671.5,2010,09
14.5,25.6,2010,10
6.5,10.9,2010,11
-1.3,16.1,2010,12
-7.2,8.9,2011,01
1.2,29.1,2011,02
3.6,14.6,2011,03
10.7,110.1,2011,04
17.9,53.4,2011,05
22.0,404.5,2011,06
24.6,1131.0,2011,07
25.8,166.8,2011,08
21.8,25.6,2011,09
14.2,32.0,2011,10
10.7,56.2,2011,11
-0.9,7.1,2011,12
-2.8,6.7,2012,01
-2.0,0.8,2012,02
5.1,47.4,2012,03
12.3,157.0,2012,04
19.7,8.2,2012,05
24.1,91.9,2012,06
25.4,448.9,2012,07
27.1,464.9,2012,08
21.0,212.0,2012,09
15.3,99.3,2012,10
5.5,67.8,2012,11
-4.1,41.4,2012,12
-3.4,22.1,2013,01
-1.2,74.1,2013,02
5.1,27.3,2013,03
10.0,71.7,2013,04
18.2,132.0,2013,05
24.4,28.3,2013,06
25.5,676.2,2013,07
27.7,148.6,2013,08
21.8,138.5,2013,09
15.8,13.5,2013,10
6.2,46.8,2013,11
-0.2,24.7,2013,12
-0.7,13.0,2014,01
1.9,16.2,2014,02
7.9,7.2,2014,03
14.0,31.0,2014,04
18.9,63.0,2014,05
23.1,98.1,2014,06
26.1,207.9,2014,07
25.2,172.8,2014,08
22.1,88.1,2014,09
15.6,52.2,2014,10
9.0,41.5,2014,11
-2.9,17.9,2014,12
-0.9,11.3,2015,01
1.0,22.7,2015,02
6.3,9.6,2015,03
13.3,80.5,2015,04
18.9,28.9,2015,05
23.6,99.0,2015,06
25.8,226.0,2015,07
26.3,72.9,2015,08
22.4,26.0,2015,09
15.5,81.5,2015,10
8.9,104.6,2015,11
1.6,29.1,2015,12
-3.2,1.0,2016,01
0.2,47.6,2016,02
7.0,40.5,2016,03
14.1,76.8,2016,04
19.6,160.5,2016,05
23.6,54.4,2016,06
26.2,358.2,2016,07
28.0,67.1,2016,08
23.1,33.0,2016,09
16.1,74.8,2016,10
6.8,16.7,2016,11
1.2,61.1,2016,12
-1.8,14.9,2017,01
-0.2,11.1,2017,02
6.3,7.9,2017,03
13.9,61.6,2017,04
19.5,16.1,2017,05
23.3,66.6,2017,06
26.9,621.0,2017,07
25.9,297.0,2017,08
22.1,35.0,2017,09
16.4,26.5,2017,10
5.6,40.7,2017,11
-1.9,34.8,2017,12
-4.0,8.5,2018,01
-1.6,29.6,2018,02
8.1,49.5,2018,03
13.0,130.3,2018,04
18.2,222.0,2018,05
23.1,171.5,2018,06
27.8,185.6,2018,07
28.8,202.6,2018,08
21.5,68.5,2018,09
13.1,120.5,2018,10
7.8,79.1,2018,11
-0.6,16.4,2018,12
-0.9,0.0,2019,01
1.0,23.8,2019,02
7.1,26.8,2019,03
12.1,47.3,2019,04
19.4,37.8,2019,05
22.5,74.0,2019,06
25.9,194.4,2019,07
27.2,190.5,2019,08
22.6,139.8,2019,09
16.4,55.5,2019,10
7.6,78.8,2019,11
1.4,22.6,2019,12
1.6,60.5,2020,01
2.5,53.1,2020,02
7.7,16.3,2020,03
11.1,16.9,2020,04
18.0,112.4,2020,05
23.9,139.6,2020,06
24.1,270.4,2020,07
26.5,675.7,2020,08
21.4,181.5,2020,09
14.3,0.0,2020,10
8.0,120.1,2020,11
-0.3,4.6,2020,12
-2.4,18.9,2021,01
2.7,7.1,2021,02
9.0,110.9,2021,03
14.2,124.1,2021,04
17.1,183.1,2021,05
22.8,104.6,2021,06
28.1,168.3,2021,07
25.9,211.2,2021,08
22.6,131.0,2021,09
15.6,57.0,2021,10
8.2,62.4,2021,11
0.6,7.9,2021,12
-2.2,5.5,2022,01
-1.1,4.7,2022,02
7.7,102.6,2022,03
14.8,20.4,2022,04
19.1,7.5,2022,05
23.3,393.8,2022,06
27.3,252.3,2022,07
25.7,564.8,2022,08
22.4,201.5,2022,09
14.6,124.1,2022,10
10.0,84.5,2022,11
-2.8,13.6,2022,12
-1.5,47.9,2023,01
2.3,1.0,2023,02
9.8,10.5,2023,03
13.8,96.9,2023,04
19.5,155.6,2023,05
23.4,195.6,2023,06
26.7,459.9,2023,07
27.2,298.1,2023,08
23.7,134.5,2023,09
15.8,31.0,2023,10
6.8,81.9,2023,11
1.1,85.9,2023,12
